Website,Link,Applicable Credit Cards,Debit Cards,Offer,Image,Unnamed: 6,Unnamed: 7,Unnamed: 8,Dedit Cards
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Visa Celesta Contactless Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/64507069/Celesta_Resident+visa.jpg/97967c9a-156f-6076-0647-4f9319789506?t=1633605976925




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Visa Celesta Contactless Debit Card
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","ICICI Bank Private Banking Visa Infinite Debit Card
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/india/managed-assets/images/cards/pb-card.webp
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,ICICI Bank Private Banking Visa Infinite Debit Card
ixigo,https://www.ixigo.com/offers/kotak-ht,"Kotak Signature Credit Card, Kotak Infinite Credit Card",,,,,,,nan
ixigo,https://www.ixigo.com/offers/aufullswipe-hotels,All AU Bank Credit Cards,,,,,,,nan
ixigo,https://www.ixigo.com/offers/ccstay,ixigo Au Credit Card,,,,,,,nan
yatra,https://www.yatra.com/offer/details/hsbc-credit-card-sale,All HSBC Credit Cards,,,,,,,nan
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Visa Imperio Contactless Debit Card




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/64507069/Imperio+visa+dc.jpg/16d7ea65-ad67-4411-f3da-5cccb265163f?t=1633612804193




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Visa Imperio Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Visa Crown Contactless Debit Card




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/64507069/Crown+Visa+%281%29.jpg/c949229b-d7c8-78b0-6735-4f0e2c34e1be?t=1633612804533




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Visa Crown Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Visa FedFirst Contactless Debit Card




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/33940737/FedFirst-Card-Small.jpg/d87ea523-2061-e99b-b42f-86e5843cff11?t=1612424476774




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Visa FedFirst Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Mastercard Celesta Contactless Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/24286612/Celesta_Resident.png/1a2064f9-6a6a-ede4-d467-28d5f3ebf2e6?t=1592556047872






























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Mastercard Celesta Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Mastercard Imperio Contactless Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/85638912/Imperio.png/fd383e31-e812-d5b9-2707-41960231ebba?t=1649412689352




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Mastercard Imperio Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Mastercard Crown Contactless Debit Card




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/85638912/Mastercard_Resident_Crown_Front.JPG/375d4861-41dd-140c-b23a-5c5cce83622d?t=1649415110542


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Mastercard Crown Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Rupay Crown Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/0/Rupay+Card+Crown+2-01.jpg/3e61c54e-ed3e-4f13-bbff-2d293c578b3b?t=1662119231662





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Rupay Crown Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"Rupay Platinum Contactless Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/17992059/RuPay+Platinum+Debit+Card.jpg/1a306361-f57c-f6dc-0bf2-3366bed2be83?t=1663224686906





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,Rupay Platinum Contactless Debit Card
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"RuPay PMJDY Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/21778473/rupay-card.jpg/d23c4b53-f7ba-25d2-3f71-6118dd9adc48?t=1736936762443




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,RuPay PMJDY Debit Card
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","ICICI Bank Wealth Select Visa Infinite Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/wealth-visa-infinite-card-t.jpg
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,ICICI Bank Wealth Select Visa Infinite Debit Card
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","ICICI Bank Wealth Management World Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/world-debit-card.gif
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",,,,ICICI Bank Wealth Management World Debit Card
